"Nachname";"Vorname";"Alle Vornamen";"geburtsname";"geschlecht";"geburtsdatum";"geburtsort";"staatsangehörigkeit";"2. staatsang.";"konfession";"konfessionskuerzel";"drucke konfession";"konfessionsanmeldung";"konfessionsabmeldung";"geburtsland";"geburtsland vater";"geburtsland mutter";"verkehrssprache familie";"migrationshintergrund";"zuzugsjahr";"straße";"hausnummer";"hausnummernzusatz";"postleitzahl";"wohnort";"telefon";"mobil";"e-mail";"e-mail schule";"status";"klasse";"jahrgang";"anmeldedatum";"aufnahmedatum";"beginn bildungsgang";"dauer bildungsgang";"externe schulnummer";"beruf";"masernimpfnachweis";"keine auskunft an dritte";"schueler-basfoeg";"meister-bafoeg"
"Kara";"Yasemin";"Yasemin";"";"w";"26.12.2013";"Duisburg";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2017";"Ulmenstraße";"10";"";"57074";"Siegen";"0221 214682";"0179 98261798";"y.kara@privat.de";"y.kara@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Reinhardt";"Kai";"Kai";"";"m";"17.04.2013";"Hannover";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Schulstraße";"26";"";"45127";"Essen";"0241 821068";"0175 39666377";"k.reinhardt@privat.de";"k.reinhardt@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Heinrich";"Julia";"Julia";"";"w";"27.02.2012";"Hannover";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Rathausstraße";"107";"";"45127";"Essen";"";"0170 56045630";"j.heinrich1@privat.de";"j.heinrich1@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Karpenko";"Polina";"Polina";"";"w";"04.12.2012";"Kyiv";"UKR";"";"griechisch-orthodox";"OR";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2023";"Schillerstraße";"77";"";"47798";"Krefeld";"0521 214675";"0178 42737441";"p.karpenko@privat.de";"p.karpenko@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Güler";"Aslı";"Aslı";"";"w";"01.07.2013";"Adana";"TUR";"DEU";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2012";"Wiesenstraße";"164";"";"42285";"Wuppertal";"0203 571413";"0175 67653606";"a.guler@privat.de";"a.guler@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"König";"Michael";"Michael";"";"m";"04.08.2012";"Aachen";"DEU";"";"katholisch";"KR";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Frankfurter Straße";"84";"";"42285";"Wuppertal";"0202 653349";"0171 90124068";"m.konig@privat.de";"m.konig@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Olszewski";"Tomasz";"Tomasz";"";"m";"10.04.2012";"Krakau";"POL";"DEU";"ohne Bekenntnis";"OH";"nein";"";"";"POL";"POL";"POL";"Polnisch";"";"2012";"Herderstraße";"81";"";"40211";"Düsseldorf";"0251 248225";"0174 62138657";"t.olszewski@privat.de";"t.olszewski@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Wysocki";"Joanna";"Joanna";"";"w";"11.03.2012";"Köln";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2019";"Ringweg";"74";"";"48147";"Münster";"0208 476479";"0176 75043108";"j.wysocki@privat.de";"j.wysocki@schule.de";"aktiv";"6b";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Kramer";"Franziska";"Franziska";"";"w";"19.02.2012";"Dortmund";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Lange Straße";"126";"";"57074";"Siegen";"0203 406278";"0176 46890134";"f.kramer@privat.de";"f.kramer@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Demirci";"Hamza";"Hamza";"";"m";"25.05.2012";"Duisburg";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2016";"Mozartstraße";"147";"";"45659";"Recklinghausen";"0234 668373";"0176 69239219";"h.demirci1@privat.de";"h.demirci1@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Esmat";"Saeed";"Saeed";"";"m";"28.08.2012";"Kabul";"AFG";"";"islamisch";"IR";"nein";"";"";"AFG";"AFG";"AFG";"Persisch";"";"2017";"Am Park";"90";"";"42855";"Remscheid";"0203 320073";"0175 57060874";"s.esmat@privat.de";"s.esmat@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"König";"Luca";"Luca";"";"m";"10.12.2013";"Gelsenkirchen";"DEU";"";"katholisch";"KR";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kastanienallee";"44";"";"47059";"Duisburg";"0208 639403";"0177 28198434";"l.konig@privat.de";"l.konig@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Ilie";"Gabriela";"Gabriela";"";"w";"05.08.2013";"Constanța";"ROU";"";"griechisch-orthodox";"OR";"nein";"";"";"ROU";"ROU";"ROU";"Rumänisch";"";"2016";"Oststraße";"64";"";"44787";"Bochum";"0521 534346";"0172 70665302";"g.ilie@privat.de";"g.ilie@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Bąk";"Grzegorz";"Grzegorz";"";"m";"03.12.2012";"Szczecin";"POL";"";"ohne Bekenntnis";"OH";"nein";"";"";"POL";"POL";"POL";"Polnisch";"";"2015";"Ringweg";"84";"";"33098";"Paderborn";"0521 796405";"0171 18500100";"g.bak@privat.de";"g.bak@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Walter";"Celine";"Celine";"";"w";"28.10.2012";"Krefeld";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Eschenweg";"148";"";"53113";"Bonn";"0521 899281";"0176 16166355";"c.walter@privat.de";"c.walter@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Wiśniewski";"Dominika";"Dominika";"";"w";"10.11.2012";"Wrocław";"POL";"";"evangelisch";"ER";"nein";"";"";"POL";"POL";"POL";"Polnisch";"";"2018";"Neustraße";"52";"";"44137";"Dortmund";"0231 197874";"0171 43606680";"d.wisniewski@privat.de";"d.wisniewski@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Wagner";"Robert";"Robert";"";"m";"03.08.2012";"Bochum";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Friedrichstraße";"1";"";"40233";"Düsseldorf";"0209 813013";"0173 11246473";"r.wagner@privat.de";"r.wagner@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Saidi";"Tariq";"Tariq";"";"m";"11.02.2012";"Homs";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2018";"Hamburger Straße";"23";"";"52064";"Aachen";"0201 501312";"0178 96110892";"t.saidi@privat.de";"t.saidi@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Werner";"Stefan";"Stefan";"";"m";"05.02.2012";"Essen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Lange Straße";"56";"";"57072";"Siegen";"0208 468611";"0172 52211967";"s.werner@privat.de";"s.werner@schule.de";"aktiv";"6c";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Peters";"Tobias";"Tobias";"";"m";"13.12.2012";"Gelsenkirchen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Pappelweg";"156";"";"33604";"Bielefeld";"0212 932336";"0179 76422705";"t.peters@privat.de";"t.peters@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Koch";"Johanna";"Johanna";"";"w";"18.06.2013";"Stuttgart";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Hamburger Straße";"146";"";"44789";"Bochum";"0202 907788";"0177 12240013";"j.koch@privat.de";"j.koch@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Meyer";"Christoph";"Christoph";"";"m";"21.02.2013";"Berlin";"DEU";"";"katholisch";"KR";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Neustraße";"180";"";"57074";"Siegen";"0201 390946";"0177 51594998";"c.meyer@privat.de";"c.meyer@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Koç";"Fatih";"Fatih";"";"m";"28.12.2013";"Bursa";"TUR";"DEU";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2015";"Hansastraße";"179";"";"50823";"Köln";"";"0177 68315400";"f.koc@privat.de";"f.koc@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Aktaş";"Suat";"Suat";"";"m";"16.03.2012";"Köln";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2010";"Herderstraße";"180";"";"44147";"Dortmund";"0212 962460";"0170 32409388";"s.aktaS@privat.de";"s.aktaS@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Schwarz";"Charlotte";"Charlotte";"";"w";"15.08.2012";"Leverkusen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Park";"148";"";"50823";"Köln";"0202 694423";"0178 59350218";"c.schwarz@privat.de";"c.schwarz@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Neumann";"Lukas";"Lukas";"";"m";"05.07.2013";"Münster";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Lindenstraße";"121";"";"45879";"Gelsenkirchen";"0208 137081";"0174 98007006";"l.neumann@privat.de";"l.neumann@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Sommer";"René";"René";"";"m";"08.03.2012";"Leverkusen";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Beethovenstraße";"129";"";"59065";"Hamm";"0208 172274";"0173 47890586";"r.sommer@privat.de";"r.sommer@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Schmidt";"Sarah";"Sarah";"";"w";"24.04.2013";"Berlin";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Niederstraße";"95";"";"45879";"Gelsenkirchen";"0203 257880";"0176 65034115";"s.schmidt@privat.de";"s.schmidt@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Schmidt";"Nicole";"Nicole";"";"w";"16.07.2012";"Köln";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Birkenweg";"136";"";"45127";"Essen";"0201 846221";"0170 22485824";"n.schmidt@privat.de";"n.schmidt@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Marinescu";"Sorina";"Sorina";"";"w";"19.02.2013";"Constanța";"ROU";"";"sonstige orthodoxe";"XO";"nein";"";"";"ROU";"ROU";"ROU";"Rumänisch";"";"2018";"Fichtenweg";"35";"";"40237";"Düsseldorf";"";"0178 41778964";"s.marinescu@privat.de";"s.marinescu@schule.de";"aktiv";"6d";"06";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Reuter";"Helga";"Helga";"";"w";"25.03.2013";"Hamburg";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Rosenstraße";"20";"";"47053";"Duisburg";"";"0177 32062036";"h.reuter@privat.de";"h.reuter@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Arslan";"Hilal";"Hilal";"";"w";"06.02.2013";"Gaziantep";"TUR";"DEU";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2012";"Niederstraße";"68";"";"46047";"Oberhausen";"0208 838936";"0175 15412975";"h.arslan@privat.de";"h.arslan@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Sidorov";"Irina";"Irina";"";"w";"27.05.2014";"Sankt Petersburg";"RUS";"";"ohne Bekenntnis";"OH";"nein";"";"";"RUS";"RUS";"RUS";"Russisch";"";"2015";"Kiefernweg";"13";"";"51373";"Leverkusen";"";"0172 70693413";"i.sidorov@privat.de";"i.sidorov@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Braun";"Florian";"Florian";"";"m";"21.11.2014";"Frankfurt";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Eichenweg";"103";"";"44789";"Bochum";"";"0175 44738319";"f.braun@privat.de";"f.braun@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Herrmann";"Kai";"Kai";"";"m";"06.01.2014";"Hamburg";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Beethovenstraße";"11";"";"53111";"Bonn";"0251 514186";"0173 13957046";"k.herrmann@privat.de";"k.herrmann@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Qasim";"Ziad";"Ziad";"";"m";"10.11.2013";"Latakia";"SYR";"";"ohne Bekenntnis";"OH";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2017";"Parkstraße";"9";"";"42855";"Remscheid";"0209 602300";"0176 21773787";"z.qasim@privat.de";"z.qasim@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Herrmann";"Elke";"Elke";"";"w";"19.06.2014";"Leverkusen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Querstraße";"140";"";"58097";"Hagen";"0231 288550";"0176 52799022";"e.herrmann@privat.de";"e.herrmann@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Becker";"Amelie";"Amelie";"";"w";"18.05.2013";"Hannover";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nelkenstraße";"169";"";"40237";"Düsseldorf";"";"0179 87268086";"a.becker1@privat.de";"a.becker1@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Krause";"Markus";"Markus";"";"m";"07.10.2013";"Krefeld";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Eichenallee";"145";"";"58097";"Hagen";"0201 614259";"0176 22114140";"m.krause@privat.de";"m.krause@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Schneider";"Moritz";"Moritz";"";"m";"02.06.2013";"Dortmund";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Lessingstraße";"88";"";"33602";"Bielefeld";"";"0178 24887509";"m.schneider@privat.de";"m.schneider@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Moreno";"Rosa";"Rosa";"";"w";"14.12.2013";"Köln";"ESP";"DEU";"ohne Bekenntnis";"OH";"nein";"";"";"ESP";"ESP";"ESP";"Spanisch";"";"";"Oststraße";"35";"";"46045";"Oberhausen";"0521 432695";"0178 85427317";"r.moreno@privat.de";"r.moreno@schule.de";"aktiv";"5a";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Albrecht";"Niklas";"Niklas";"";"m";"20.03.2013";"Duisburg";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Buchenallee";"101";"";"44137";"Dortmund";"0241 331625";"0175 23973438";"n.albrecht@privat.de";"n.albrecht@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Fuchs";"Paul";"Paul";"";"m";"08.04.2014";"Bremen";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Breite Straße";"3";"";"53111";"Bonn";"";"0170 24500158";"p.fuchs@privat.de";"p.fuchs@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Sommer";"Katharina";"Katharina";"";"w";"26.08.2013";"Hamburg";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Ulmenstraße";"97";"";"58095";"Hagen";"0521 336540";"0178 70570772";"k.sommer@privat.de";"k.sommer@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Savchenko";"Vasyl";"Vasyl";"";"m";"24.03.2014";"Kyiv";"UKR";"";"sonstige orthodoxe";"XO";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2023";"Südstraße";"44";"";"40210";"Düsseldorf";"0221 454366";"0175 92362000";"v.savchenko@privat.de";"v.savchenko@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Haddad";"Rima";"Rima";"";"w";"23.07.2013";"Hama";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2016";"Nordstraße";"53";"";"40237";"Düsseldorf";"0251 666362";"0170 98663948";"r.haddad@privat.de";"r.haddad@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Wagner";"Robert";"Robert";"";"m";"27.05.2013";"Stuttgart";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Hauptstraße";"110";"";"59063";"Hamm";"0202 309374";"0177 13454186";"r.wagner1@privat.de";"r.wagner1@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Richter";"Amelie";"Amelie";"";"w";"21.02.2014";"Berlin";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Ringweg";"170";"";"51427";"Bergisch Gladbach";"0234 499974";"0171 35042738";"a.richter@privat.de";"a.richter@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Pfeiffer";"Maria";"Maria";"";"w";"14.09.2014";"Hamburg";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Friedrichstraße";"22";"";"48143";"Münster";"0211 981639";"0172 80139805";"m.pfeiffer@privat.de";"m.pfeiffer@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Díaz";"Ana";"Ana";"";"w";"25.02.2013";"Sevilla";"ESP";"DEU";"katholisch";"KR";"ja";"";"";"ESP";"ESP";"ESP";"Spanisch";"";"2015";"Kirchstraße";"129";"";"51373";"Leverkusen";"0201 322182";"0179 26936398";"a.diaz@privat.de";"a.diaz@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Özcan";"Sibel";"Sibel";"";"w";"11.09.2014";"Kayseri";"TUR";"";"ohne Bekenntnis";"OH";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2013";"Kaiserstraße";"100";"";"50823";"Köln";"0202 112964";"0175 88863127";"s.ozcan@privat.de";"s.ozcan@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Krüger";"Benedikt";"Benedikt";"";"m";"13.05.2014";"Frankfurt";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kastanienallee";"89";"";"42697";"Solingen";"0241 596025";"0176 33112256";"b.kruger@privat.de";"b.kruger@schule.de";"aktiv";"5b";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Weber";"Stefanie";"Stefanie";"";"w";"27.06.2013";"Gelsenkirchen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Bach";"96";"";"51427";"Bergisch Gladbach";"0208 615500";"0177 40595926";"s.weber@privat.de";"s.weber@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Frank";"Marie";"Marie";"";"w";"28.09.2014";"Bonn";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Ahornstraße";"105";"";"42853";"Remscheid";"0209 929937";"0178 18806960";"m.frank@privat.de";"m.frank@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Al-Rashid";"Farah";"Farah";"";"w";"02.08.2013";"Homs";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2016";"Waldstraße";"64";"";"33602";"Bielefeld";"0231 486244";"0173 77796914";"f.alrashid@privat.de";"f.alrashid@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Wiśniewski";"Marek";"Marek";"";"m";"06.06.2014";"Gdańsk";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2018";"Feldstraße";"122";"";"42855";"Remscheid";"0251 194782";"0170 13684342";"m.wisniewski@privat.de";"m.wisniewski@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Huber";"Kai";"Kai";"";"m";"05.08.2013";"Frankfurt";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kiefernweg";"6";"";"57072";"Siegen";"0212 108874";"0179 43875271";"k.huber@privat.de";"k.huber@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Saleh";"Maya";"Maya";"";"w";"04.10.2014";"Damaskus";"SYR";"";"ohne Bekenntnis";"OH";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2018";"Niederstraße";"78";"";"33615";"Bielefeld";"0521 984247";"0171 85357498";"m.saleh@privat.de";"m.saleh@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Ziegler";"Daniel";"Daniel";"";"m";"05.04.2014";"Leverkusen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Park";"168";"";"47059";"Duisburg";"0211 944554";"0175 64237172";"d.ziegler@privat.de";"d.ziegler@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Ghazi";"Elias";"Elias";"";"m";"24.06.2013";"Deir ez-Zor";"SYR";"";"syrisch-orthodox";"SO";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2017";"Hamburger Straße";"10";"";"51375";"Leverkusen";"0209 769320";"0173 58116670";"e.ghazi1@privat.de";"e.ghazi1@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Hoang";"Hung";"Hung";"";"m";"03.11.2014";"Ho-Chi-Minh-Stadt";"VNM";"DEU";"andere Religionen";"XR";"nein";"";"";"VNM";"VNM";"VNM";"Vietnamesisch";"";"2008";"Lindenallee";"47";"";"47051";"Duisburg";"0251 422002";"0172 54468633";"h.hoang@privat.de";"h.hoang@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Pfeiffer";"Jana";"Jana";"";"w";"13.11.2013";"Leverkusen";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Buchenweg";"129";"";"51427";"Bergisch Gladbach";"0211 995735";"0178 28436852";"j.pfeiffer@privat.de";"j.pfeiffer@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Krüger";"Nadine";"Nadine";"";"w";"15.01.2013";"Aachen";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Feldstraße";"81";"";"53111";"Bonn";"0212 276795";"0175 31264801";"n.kruger@privat.de";"n.kruger@schule.de";"aktiv";"5c";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Bondarenko";"Yuriy";"Yuriy";"";"m";"07.09.2013";"Saporischschja";"UKR";"";"griechisch-orthodox";"OR";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2023";"Hamburger Straße";"2";"";"51429";"Bergisch Gladbach";"0211 437864";"0174 35578773";"y.bondarenko@privat.de";"y.bondarenko@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"ja";"nein";"nein";"nein"
"Grabowski";"Przemysław";"Przemysław";"";"m";"03.03.2014";"Warschau";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2015";"Hamburger Straße";"129";"";"45127";"Essen";"0231 578073";"0174 90043415";"p.grabowski@privat.de";"p.grabowski@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
"Özdemir";"Cem";"Cem";"";"m";"05.12.2013";"Bursa";"TUR";"DEU";"islamisch";"IS";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2012";"Gartenstraße";"59";"";"51375";"Leverkusen";"0241 629146";"0178 26530521";"c.ozdemir@privat.de";"c.ozdemir@schule.de";"aktiv";"5d";"05";"";"01.08.2025";"";"";"";"";"nein";"nein";"nein";"nein"
